deflag,g1_15_AQ,g1_25_AQ,g2_38_CL,g2_37_CL,g4_61_LF,g4_68_LF,g5_86_PE,g5_99_PE
0,7.842627246,NA,19.9191505,0.158903362,0.463733852,NA,NA,0.207504532
0,NA,NA,NA,NA,0.461695424,0.066791738,NA,0.05421393
0,1.088656193,0.362066319,NA,NA,0.973712842,-0.009155055,1.007912903,0.046130856
0,NA,NA,9.446519004,NA,0.738024715,NA,NA,0.187393695
1,NA,NA,14.91493176,0.239810483,NA,NA,1.007280496,0.054293995
0,4.28188015,0.29291943,19.86229391,0.115282286,0.95480006,0.00774006,1.045186932,0.03749764
0,NA,NA,25.57893885,NA,0.96304209,NA,NA,0.001130524
0,3.961759933,0.134612547,11.36231748,0.053089804,1.44259566,0.079945009,1.029952103,0.094650171
0,NA,NA,NA,0.098708747,1.025009681,NA,NA,0.09182442
0,1.204160008,0.201124745,4.341698388,0.070456829,1.25992975,0.316571973,1.011177609,0.104309824
0,11.08247626,0.128579303,9.049404304,0.074720717,0.962245988,0.433149225,1.007729687,0.19389597
0,0.16400703,0.687023551,14.97789375,0.037787237,0.793055539,0.386932958,0.99786906,0.013661326
0,-0.418003006,NA,15.07138122,0.059617824,0.545058924,NA,NA,0.08537981
0,3.731981646,-0.089925776,22.75899921,0.062333385,0.833261009,0.303537743,1.028532735,0.0720675
0,NA,NA,NA,0.106524109,NA,0.175692303,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA
0,0.401591518,NA,3.4000085,0.03499881,0.892475228,NA,NA,0.262203423
0,0.056616937,0.457377253,8.548167718,0.078088248,0.675183041,-0.045582235,1.027080038,0.106651702
0,0.409754395,0.180896439,18.05187756,0.141340996,0.964652534,0.132102239,0.998953138,0.066760988
0,3.689539049,-0.045388096,NA,NA,0.817382261,0.507196283,0.991199537,0.110517807
0,NA,NA,12.43343847,NA,1.131560415,NA,NA,0.093331927
0,1.301698971,NA,NA,0.056779103,0.817254761,NA,NA,0.019023875
0,NA,NA,6.099801874,NA,0.577400976,NA,NA,0.04765886
0,1.86268088,-0.014963552,NA,NA,NA,-0.012122163,1.049349617,NA
0,4.589107286,0.349654161,10.1283952,0.047441717,0.616350684,0.020423568,1.024747828,0.129874968
0,NA,NA,18.00155126,NA,0.544726059,NA,NA,0.089035407
0,5.771143039,0.056273658,9.260723598,0.07003656,1.602451098,0.226043827,0.980969843,0.068547569
0,-1.280853969,0.808125717,NA,NA,1.09590866,0.073139054,0.994702073,0.010269471
0,NA,NA,NA,NA,NA,NA,NA,NA
0,1.215706909,0.380285547,10.66062419,-0.022520545,0.581902148,0.352701746,1.019773343,0.094118544
0,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,17.36331088,NA,NA,0.058788753,NA,-0.008575237
0,NA,NA,NA,NA,1.071492303,0.252754263,NA,0.010457908
0,NA,NA,8.191308704,NA,0.828572607,NA,NA,0.097438272
0,3.340273747,0.092315881,13.37039404,0.001383576,1.132444083,0.24585664,1.015943855,0.12097028
0,2.863070487,-0.224704444,NA,NA,0.799910171,-0.056030751,1.023159271,0.255984788
0,NA,NA,14.25511849,NA,NA,-0.021319804,NA,-0.03139692
0,1.086418638,0.396950818,14.5240582,0.029993647,0.482566124,0.182231761,0.982020131,-0.048818183
